,urn,author,title,year,lang
0,2007062210022,"Hugo, Victor",Iislænderen i Norge,1831,nob
1,2011121224072,,Haandbog for telefonformænd,1902,nob
2,2008100801033,"Rolfsen, Nordahl",Fortællinger af verdenshistorien,1904,nob
3,2011113024004,,Studenterne fra 1876,1902,nob
4,2014030606066,"Drolsum, A.C.",Kongeriget Norge som souveræn Stat,1905,nob
5,2010060806060,"Bonnevie, J.A.",Anvisning til Regnskabsførsel ved mindre Jordbrug,1874,nob
6,2008031103003,"Torup, Sophus","Fortegnelse over medicinske Tidsskrifter, Centralblade ogAarsberetninger i offentlige og private Bibliotheker i Norge",1907,nob
7,2009042803008,,Norge,1895,nob
8,2010052706003,"Hilditch, Jacob",[Samlede fortællinger],1906,nob
9,2015090826006,"Larsen, Hermann",Regnebog,1871,nob
10,2013073124012,"Ibsen, Henrik",Rosmersholm,1886,nob
11,2006112400001,"Wagner, C.",Staalsat,1894,nob
12,2014100928004,"Bergwitz, Joh. K.","Norge i 1814, Norge i 1905",1905,nob
13,2010102906027,"Waggen, Lars",Gamaltids livekaar aat bondefolk i Inntrøndelagen fraa 1800-1850,1908,nob
14,2016071206003,"Zwilgmeyer, Dikken",Kongsgaardgutten,1904,nob
15,2008082802002,,Matrikul for ... Thinglag ifølge Lov av 17de December 1836,1838,nob
16,2013042608083,"Julsrud, Johan","Læsebog for aftenskoler, amtsskoler og højere folkeskoler",1879,nob
17,2013102108117,"Sørensen, S.A.",Zioniterne,1904,nob
18,2014022428002,"Treschow, Niels",Mindetale over D.h.o. Br.H.E. Statsminister Peder Anker i L.St.O.t.d.h.L. den 21de Juni 1825,1825,nob
19,2016051948127,"Farrar, Frederic W.",Jesu Liv,1880,nob
20,2015072108003,Marie,Fra Fars og Mors Tid,1884,nob
21,2014082508061,"Bætzmann, F.",I Dagens Strid,1883,nob
22,2009062313004,,Bøn,1814,nob
23,2013042608098,"Lindeqvist, Johan",Indberetning til Departementet for det Indre angaaende de offentlige Foranstaltninger til Hesteavlens Fremme for Aaret 1862,1863,nob
24,2014082708085,"Schøyen, Elisabeth",Livsbilleder,1884,nob
25,2012102308263,"Bergesen, Ole",Hvorfor jeg ikke har kunnet slutte mig til Venstre,1884,nob
26,2012031324036,"Angell, H.",Vikinger og skrællinger paa Bygdø,1908,nob
27,2016060348052,Publilius Syrus,Tankesprog,1894,nob
28,2010071412002,,Feltudrustningsplan for kavaleriet,1899,nob
29,2014121208097,"Ylvisaker, J.Th.","De fire Evangeliers Harmoni, eller Jesu Historie efter de fire Evangelier i kronologisk  Sammenstilling",1896,nob
30,2014062307132,,Til minde om fru Fredrikke Lehamann født Barth,1904,nob
31,2016060848189,"Ibsen, Henrik",Kongs-emnerne,1889,nob
32,2009010503028,"Bonnevie, J.A.",Bonnevies lærebog i arithmetik og algebra med eksempelsamling for middelskolen,1891,nob
33,2008072900072,"Garborg, Hulda",Kvinden skabt af Manden,1904,nob
34,2009021603018,"Gløersen, Kristian",Dyreliv i Norge,1894,nob
35,2016041908096,"Svensen, Sven",Grammatik II,1903,nob
36,2013042608024,"Jerpstad, Endre",Mit liv og små pennefrugter,1888,nob
37,2010052606061,,Vasdragsloven til praktisk brug / udgivet af Arne Carlsen,1905,nob
38,2009071403003,"Platou, J.M.",Fortolkning af Lukas's Evangelium,1889,nob
39,2014120938040,,Lyngblomster,1910,nob
40,2015120828001,"Broch, Johan Jørgen",Tale holden ved Afsløringen af Diderik Hegermanns Æresminde paa Krigsskolens Haveplads den 28de October 1841,1842,nob
41,2012051608040,"Fjørtoft, Olaus J.","Lærebog i praktisk Regning efter det nye Mynt-, Maal- og Vægtsystem",1877,nob
42,2013011708110,,Opgaver i tysk stil ved middelskoleexamen,1896,nob
43,2014110426013,"Francke, August Hermann",Om Dands,1847,nob
44,2008030710016,"Lytton, Edward Bulwer Lytton",Nat og morgen,1899,nob
45,2013111327001,,"Blandede Efterretninger, Fædrelandet betræffende",1814,nob
46,2008040204049,"Krag, Vilhelm",Holmerne de graa,1905,nob
47,2011092606035,"Kjerulf, Theodor","Om skuringsmærker, glacialformationen og terrasser, samt om grundfjeldets og sparagmitfjeldets mæktighed i Norge",1871,nob
48,2009050403001,"Synnestvedt, A.S.D.",anatomisk Beskrivelse af de paa Over- og Underextremiteterne forekommende Bursae mucosae,1869,nob
49,2006082800005,"Vibe, Johan",Testamente,1884,nob
50,2009050503018,"Nielsen, Yngvar","Carl Johan, som han virkelig var, og som han skildres af Professor J.E. Sars",1897,nob
51,2011100423015,"Deinboll, P.V.Br.",Praktisk geometri (udmålingslære) med landmåling og et tillæg om kubikroduddragning,1901,nob
52,2009011910001,"Bergh, Johannes",Om den saakaldte Hjemmelspligt i Contractsforhold,1867,nob
53,2016011448078,"Meyer, Johan",Fortids kunst i Norges bygder,1908,nob
54,2012030508040,,Forslag fra Den parlamentariske landbrugskommission angaaende oprettelse af en norsk veterinærhøiskole,1900,nob
55,2009021913001,,Regjeringens forslag til ny rusdriklov,1902,nob
56,2007080810010,"Clauson, Hieronymus Johan","Noget om Vexel-Cours, Penge-Cours, Penge-Representativer,Bank &amp;c. &amp;c",1815,nob
57,2012052508042,"Larsen, A.O.",Lønnende frugtdyrkning i smaa og store haver,1910,nob
58,2015012708304,"La Chapelle-Robol, Suse",Vildkat som bedstemoder,1906,nob
59,2016070568018,,"Plan for Vestoplands folkehøiskole, Jaren",1909,nob
60,2015092426007,,Kongeriget Norges Grundlov med dens Tillæg og sednere Ændringer,1873,nob
61,2009020600086,"Pontoppidan, Erik",Udtog af Dr. Erich Pontoppidans Forklaring til de Eenfoldiges Nytte,1833,nob
62,2015121628003,"Vallance, J.H.",Brændevin og Salt,1888,nob
63,2006120101002,"Dickens, Charles",Fortælling om to Byer,1906,nob
64,2013110508387,"Urdahl, Laurentius",Vinterliv paa fjeldet,1896,nob
65,2015090708086,,Hovedresultaterne af Folketællingen i Norge i Januar 1866,1868,nob
66,2012101007041,"Lie, Jonas","Østenfor Sol, vestenfor Maane og bagom Babylons Taarn!",1905,nob
67,2011112924010,,Norsk tekst til Engleders dyrebilleder,1902,nob
68,2015101448009,"Arndt, Johann",Seks Bøger om den sande Christendom,1906,nob
69,2009020400037,"Øverland, O.A.",Lærebog i Norges nyeste historie for folkeskolen,1898,nob
70,2016101848013,"Olsen, Adolescentulus",Rythmeskvulp,1895,nob
71,2007061510009,"Holst, Elling",ABC for skole og hjem,1893,nob
72,2015120408024,"Dahl, Jonas",Nadverden er menighedens,1907,nob
73,2011070708231,"Svendsen, Conrad.",Betragtninger for hver dag i maaneden,1905,nob
74,2016052508011,"Ibsen, Henrik",Kongs-emnerne,1872,nob
75,2009082610003,"Wettergreen, Paul",Opfordring til Bøn om den Helligaand,1874,nob
76,2007121410003,"Jensenius, Caspar Holten",Mormonernes Lære og de Kristnes Tro,1855,nob
77,2009020200007,"Bonnevie, J.A.",Bonnevies lærebog i aritmetik og algebra,1899,nob
78,2012011612005,,Melodier til Sangene i Læsebog for Folkeskolen og Folkehjemmet,1865,nob
79,2010011312015,"Ibsen, Henrik",Sang til de svenske Rigsdagsmænd ved Festen paa Klingenberg den 17de August 1860,1860,nob
80,2015110608199,,Det første norske søassurancemødes forhandlinger,1883,nob
81,2009041603013,"Sebelien, John",Forelæsninger over anvendt Kemi(I) for Landbrukshøiskolens Jordbrugsklasse,1898,nob
82,2009062513016,,"Forslag til de Forandringer i Kongeriget Norges Grundlov, som vilde blive nødvendige ved en Forening med Kongeriget Sverrig",1814,nob
83,2010070806089,"Erichsen, A.E.",Norsk læsebok for middelskolen,1909,nob
84,2008041710006,"Helland, Amund",De mægtigste og ædleste kismasser i Norge,1873,nob
85,2008103003009,"Angell, Henrik",Motiveret Udkast til en Creditforening for Kongeriget Norges Grundeiere,1850,nob
86,2014082608013,"Rink, H.",[Om grønlænderne],1884,nob
87,2013072508002,,Katalog over Det kgl. norske videnskabernes selskabs oldsamling,1871,nob
88,2013070326005,"Bjerregaard, Henrik Anker",Syttende Mai 1824,1859,nob
89,2009020600080,"Vogt, Volrath",Bibelhistorie for Almueskolerne i Byerne,1882,nob
90,2006081500062,"Lie, Bernt",Kasper Bugge,1898,nob
91,2009020203034,"Grosch, H.",Kunstindustrimuseet i Kristiania,1892,nob
92,2009012800137,"Klaveness, Thv.",Forklaring over Luthers lille katekisme,1892,nob
93,2008040204081,"Kropotkin, P.A.",Erobringen af brødet,1898,nob
94,2014111108164,"Stang, Augusta",Norsk læsebok for barneskolen,1908,nob
95,2008022512001,"Sars, Michael",Om de i Norge forekommende fossile Dyrelevninger fra Qvartærperioden,1865,nob
96,2009020600014,"Taranger, Absalon",Norsk samfundslære til skolebrug,1906,nob
97,2014102007577,"Helgesen, W.Th.","Spøgeriet paa Gaasvær, eller Paul Munk Glads død",1901,nob
98,2012052204008,"Veresaev, V.V.",Læges Bekjendelser,1902,nob
99,2009072903002,"Smith, A.",Om Arendals Middel- og Realskoles Udvidelse til fuldstændig lærd og Realskole,1864,nob
100,2013071208138,"Heyerdahl, Anders","Genealogiske optegnelser om slægtlinierne ""Heyerdahl"", samlet og ordnet i slægtregisterform",1890,nob
101,2009080603004,"Westrem, L.",Nogle skandinaviske Betragtninger,1865,nob
102,2009030403035,"Platou, Oscar",Umyndiges retshandler,1897,nob
103,2013010708055,"Wergeland, Henrik",Henrik Arnold Wergeland,1906,nob
104,2016101926004,"Bang, Maren Elisabeth",Almindelig Syltebog,1844,nob
105,2009032003006,"Schönthau, Paul von",Prinsesse Turandot,1896,nob
106,2009072801132,"Laberg, Jon",Bibelhistorie for skole og hjem,1896,nob
107,2014021108055,"Wilson, J. H.",Solefald,1896,nob
108,2013121708009,"Isaachsen, D.",Lærebog i fysik for realgymnasiet og tekniske skoler,1909,nob
109,2012051808188,"Skaar, J.N.",Lovsange og aandelige Viser,1900,nob
110,2009031003043,"Strömberg, Th.",hellige Strid,1893,nob
111,2011081120006,"Ellis, Edward S.",Trapperne ved Ozark,1900,nob
112,2009021603012,"Farrar, Frederic W.",Apostelen Johannes og Antikristen,1893,nob
113,2009050503029,"Eliassen, A.",Algebraisk kursus for 1ste real- og latingymnasium,1895,nob
114,2008060613032,"Bjørnson, Bjørnstjerne","Sang, afsungen ved Koncerten for Christies Minde, den 17de Mai 1861",1861,nob
115,2016110448013,"Arndt, Friedrich.",Konfirmationsgave til ledsagelse gjennem livet,1854,nob
116,2010062812002,,Haandbog for telefonformænd,1899,nob
117,2006112001041,"Bjørlykke, K.O.",Det centrale Norges Fjeldbygning,1905,nob
118,2014040908023,"Feragen, A.M.",Facitbog til Feragens Regne-ABC,1862,nob
119,2010031710012,,Forslag til Lov om Erhvervelse og Tab af Statsborgerret med Motiver og Bilage,1890,nob
120,2013100308076,"Wexelsen, Vilhelm Andreas",Folkekirke og kirkeforfatning,1908,nob
121,2016101748065,,Til nytte og underholdning,1887,nob
122,2012101908032,"Dreyer, Peder",Missionslæsning,1901,nob
123,2011112224009,"Pedersen, A.B.",Mor Hansen,1900,nob
124,2014082508173,"Øyen, P.A.","Dryas octopetala, L. og Salix reticulata, L. i vort land før indsjøperioden",1904,nob
125,2009092403008,"Besser, W.F.",St. Petri Breve,1866,nob
126,2011112524015,"Næss, H.J.",Stue-Blomster,1902,nob
127,2014100108102,"Hiorth-Schøyen, Rolf",Spillemænd,1908,nob
128,2013013008118,"Reusch, Hans",Naturkundskap,1907,nob
129,2015062508046,"Sars, G.O.",Katalog over skrifter og afhandlinger,1884,nob
130,2011051004094,"Deinboll, P.V.Br.",Praktisk geometri (udmålingslære) med landmåling og et tillæg om kubikroduddragning,1884,nob
131,2011081913006,"Eielsen, Elling","Her fremtræder en Skare Vidner af troende Sjæle fra Amerika og Norge for at aflægge sit Vidnesbyrd i denne sag om Elling Eielsens Levnet og Lære, imod hans Modstandere, og siden ... : tilligemed et Brev om de norske Præsters Synodalmøde i Minnesota den 12te Juni 1862, m.m",1863,nob
132,2013061308020,"Boye, M.M.",Breviks kommunale høiere almenskole,1904,nob
133,2008110503028,,Fortegnelse over Deeltagerne i det nordiske Studentermöde i Christiania 1851,1851,nob
134,2016101926016,"Bergh, Mathias","Udtog af Kongeriget Sverriges Historie indtil Kong Gustav den Tredies Død, i Aaret 1792",1823,nob
135,2016101148005,,yndigste Rose,1881,nob
136,2013042608112,"Berg, Lauritz",lille Astronom,1889,nob
137,2009032703039,"Brice, A. Montefiore H.",Stanleys Liv og Virksomhed,1890,nob
138,2015021008153,"Johannesen, Ole",Regnebok for folkeskolen,1907,nob
139,2016111748569,"Bond, E.",Det hemmelighedsfulde hus,1886,nob
140,2015060948149,"Petersen, L.",Beskrivelse over Norges offentlige Brevposter,1838,nob
141,2008040200080,"Ekman, E.J.",Illustreret Missionshistorie,1894,nob
142,2012032024046,"Muus, B.J.",Jens Rynnings Æt,1894,nob
143,2010092220009,"Ohme, Johan",General Ohmes Journal over Fredriksstens Fæstnings Beleiring fra 30te Juli til 16de August 1814,1899,nob
144,2009041603022,"Caspari, Theodor",Fra syd og nord,1899,nob
145,2009032703031,,Norsk Medicinallovgivning,1897,nob
146,2014060408085,"Brøgger, A.W.",norsk ravfund fra stenalderen,1908,nob
147,2016012208007,,Indstilling om reform af konfirmationsordningen,1907,nob
148,2009030410003,,"Catalog over afdøde Kjøbmand Steen Bruun's efterladte Bogsamling, som bortsælges ved offenlig Auction Mandag den 27de November 1854 og følgende Dage i Gaarden Nr 11 paa Hjørnet afRaadhus- og Kirkegaden",1854,nob
149,2009070912003,"Jordhøy, Jørgen P.","Juridisk Haandbog for norske Skibsrædere, Skibsførere og Søefarende",1832,nob
150,2014111308200,"Nordgård, O.",1ste beretning om de ved Bergens biologiske station foretagne udklækningsforsøg med lakse- og søørretrogn i saltvand og brakvand,1896,nob
151,2014030308024,"Throndsen, K.",Confirmationsgratulanterne,1859,nob
152,2016031148006,"Rasch, A.W.",Kong Haakon VII's og dronning Maud's nedstamning fra det gamle norske kongehus,1905,nob
153,2009041503015,"Christensen, Hjalmar",Af det norske Aandslivs Historie i det 19de Aarhundrede,1899,nob
154,2014070708126,,Skrifter utgitt for Kjeldeskriftfondet,1887,nob
155,2011072712001,,Aandelig Harpe,1880,nob
156,2014060308004,,Forslag til en forandret Ordning af det høiere Skolevæsen,1867,nob
157,2006112401003,"Weisse, J.P.",Romerske Cæsarer,1886,nob
158,2008040200106,"Sommerschield, P.",Historiske skildringer fra Baahuslen (Viken),1905,nob
159,2016102848541,"Bærøe, Ludv.",Bruderov,1891,nob
160,2009082503027,"Nygaard, M.",Eddasprogets Syntax,1865,nob
161,2008040300014,,"Festskrift i Anledning af Professor, Doctor medicinae Hjalmar Heibergs 25 Aars Jubilæum som Professor ved Kristiania Universitet",1895,nob
162,2016060608011,"Hille, R.",Kortfattet Veiledning i Modersmaalets Analyse,1875,nob
163,2007120410007,,"Tvende Forslag til Inddragelsen af de circulerende Rigsbanksedler inden 5 Aar, og Oprettelsen af en Bank",1815,nob
164,2009061813002,"Berner, H.E.",Det Stangske System,1871,nob
165,2016101948108,"Meltzer, H.",Smaabilleder af Folkelivet,1875,nob
166,2016012726002,"Löwenhielm, Gustaf Carl Fredrik",Foreningen,1820,nob
167,2009010812007,"Bang, Maren Elisabeth",Nyttige Huusraad,1844,nob
168,2009070201096,"Knudsen, D.F.",Tyske Stiløvelser for Middelskolen,1880,nob
169,2012032024089,"Ring, Barbra",Lillefru Tertit,1906,nob
170,2009041403024,"Øverland, O.A.",Illustreret Norges Historie,1892,nob
171,2009092312002,"Munch, P.A.",Norges Historie i kortfattet Udtog,1856,nob
172,2014051208003,"Bonnevie, J.A.",Kuglerammens Anvendelse ved de første Øvelser i Regning,1874,nob
173,2012091905039,,Fortegnelse over matrikulerede Eiendomme og deres Skyld i,1887,nob
174,2016111626001,"Wergeland, Henrik",Fjeldstuen,1848,nob
175,2013072208231,,Indstilling til lov om sjømænd,1910,nob
176,2009020500084,"Gran, T.O.",Regnebog for folkeskolen paa landet,1890,nob
177,2010021803045,"Arndtsen, Adam",Physik til Brug ved Borger- og Realskoler,1853,nob
178,2009021812004,"Lous, M.C. Theodor",Haandbog i den christelige Børnelærdom for Confirmander og Confirmerede,1860,nob
179,2006082800031,"Bang, A. Chr.",Kirken og Romerstaten indtil Constantin den Store,1879,nob
180,2009020203049,"Peters, Carl.",tyske Emin Pascha-Expedition =,1891,nob
181,2016051308104,"Sars, Johan Ernst",Foredrag ved universitetets Holbergfest den 3die december 1884,1885,nob
182,2010070910002,"Halmrast, Johan",Tore Spillemand,1899,nob
183,2014070308109,"Estensen, Peder",Skolelærer Peder Estensens Liv og Virksomhed,1904,nob
184,2016090848131,"Ihlen, Chr.","Familierne ""Ellefsen"" og ""Dedekam""",1898,nob
185,2008091800028,"Jacobsen, Jacob",Den bibelske Historie i Udtog efter de hellige Skrifter,1859,nob
186,2009041403019,"Muus, Rudolf",Kristianiagutter,1892,nob
187,2014110548001,"Behrens, Joh. D.",Om den lutherske Salmesang og dens Gjenindförelse i den norske Kirke,1858,nob
188,2015012008055,"Aashamar, J.O.",Tidsmæssig fjøsdrift grundet paa melkeproduktion,1898,nob
189,2009020600062,,Læsebog for folkeskolen og folkehjemmet,1881,nob
190,2009070912008,"Svendsen, C.B.","Vestlandsk Handelsmoral, eller Sagen C.B. Svendsen imod Ingw. M. Bovitz",1880,nob
191,2016051048086,"Rein, Doris",Nye Tider,1896,nob
192,2009081910008,,Udkast til en Plan for den norske Livrenteforening,1843,nob
193,2015111807554,,Bergen i ældre og nyere tid,1902,nob
194,2011051912003,"Berg, C.O.",Belsazars lidle Drikkelag,1880,nob
195,2011102524037,"Lykke-Seest, P.",Folkets mand,1902,nob
196,2013072208081,"Bull, Jacob B.",Folkelivsbilleder,1904,nob
197,2015090829007,"Vogt, J.H.L.",Norske ertsforekomster,1887,nob
198,2008011403003,"Moe, Jørgen",Digte,1856,nob
199,2016102848615,A.L.O.E.,Søen i Urskoven,1872,nob
200,2010070606002,"Taranger, Absalon",Norsk samfundslære til skolebrug,1902,nob
201,2014080608161,"Line, Jon",Mauritz Kartevold,1892,nob
202,2014040724014,"Miller, Hagbert",Unionsperioden og Norges Gjenreisning,1906,nob
203,2011081920001,"Øverland, O.A.",Korstogenes Historie,1900,nob
204,2013070408142,"Sars, G.O.","Indberetninger til Departementet for det Indre fra Professor, Dr. G.O. Sars om de af ham i Aarene 1864-1878 anstillede Undersøgelser angaaende Saltvandsfiskerierne",1879,nob
205,2009031003031,"Einarsen, Einar","Begrebet ""Kapital"" i økonomien",1895,nob
206,2015112708083,"Sundt, Einar",Fredrikshalds handel og industri,1908,nob
207,2013102308003,"Rygh, O.",Om Helleristninger i Norge,1873,nob
208,2016011448108,"Falck, Hans L.",Telegraf Code for Rhedere og Skibsførere,1885,nob
209,2008102912002,"Asbjørnsen, P. Chr.","De tre Bjørne, eller Besøget i Bjørnestuen",1864,nob
210,2012080808003,"Christophersen, W. C.",Indberetninger til det Kongl. Udenrigs-Departement om Handels- og Søfartsforholdene i Australien,1873,nob
211,2015012208008,"Krag, Thomas P.",Ensomme Mennesker,1893,nob
212,2015063008128,"Balchen, Albert",Ministeriet Hagerup og unionspolitiken,1903,nob
213,2015042808052,"Mørland, J.","Om Bjørnstjerne Bjørnsons ""Arnljot Gelline""",1910,nob
214,2014111308090,,Af Forhøret ved Lagmandsretten i Sagen Mørch m.fl. contra Retvedt samt Dommen og nogle Bemærkninger angaaende Sagen,1894,nob
215,2015082548168,,"Præmietarifer vedtat i 20. norske sjøassurangemøte, juni 1904 og gjældende fra 1. januar 1905",1904,nob
216,2011103124024,"Støren, E.",Meldalen gjennem det 19de Aarhundrede,1902,nob
