urn,author,title,year,lang,url
2016100427002,"Arentz, H.S. (Hans Severin)",Pagten med Gud,1838,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016100427002
2008040300006,"Schøyen, Carl",Norges nytid,1905,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008040300006
2009041412001,"Muus, Rudolf",Kristianialuft,1893,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009041412001
2007072402004,"Hjelm, Claus Winter","Anmeldelse af Expeditionssecretær Munch Ræders Indberetning om Jury-Institutionen i Storbritanien, Canada og de forenede Stater af Amerika",1853,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2007072402004
2008110603001,"Kielland, Alexander L.",Forsvarssagen,1890,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008110603001
2014072308027,,Bratsberg amtstings forhandlinger for aaret,1903,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014072308027
2012031324011,"Werder, Hans",Kjærlighed og Krig,1909,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012031324011
2008091003008,,"Love, Anordninger, Kundgjørelser, aabne Breve, Resolutioner m.m., der vedkomme Kongeriget Norges Lovgivning og offentlige Bestyrelse",1844,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008091003008
2013081506029,"Daae, Ludvig",Gerhard Schøning,1880,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013081506029
2009072800064,"Dahl, J.",Sproglære for Folkeskolen,1902,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009072800064
2016051308110,"Sylvester, Arnold",Noveller og Digte,1867,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016051308110
2016060348151,"Jókai, Mór",To gange Død,1885,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016060348151
2009021212005,"Krogh, M.B.","Bemærkninger, foranledigede ved den 100de § i Norges Riges Grundlov, samt Hs. Kongl. Majestæts naadigste Proposition om et Additament til Rigsacten",1821,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009021212005
2010072123005,"Sheldon, Charles M.","Rikard Bruce, eller ""Det liv som nu er""",1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010072123005
2009081701028,"Flood, Constantius",I Havskjærene,1882,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009081701028
2011112524029,,"Reglement vedrørende Anvendelsen af Lov om Registrering af Skibe af 4. Mai 1901, approberet ved Kongelig Resolution af 23. Juli 1902",1902,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011112524029
2006111701054,,Kongeriget Norges Grundlov,1898,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006111701054
2009020203035,"Egge, Peter",Faddergaven,1897,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009020203035
2014060208050,"Bing, Kristian",Nordnæs buekorps og bataljon 1858-1908,1908,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014060208050
2010100712011,,Regulativer for feltportioner og feltrationer,1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010100712011
2010011803010,"Schinnerup, Peder",Plan til et norsk Universitet,1812,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010011803010
2010062406136,"Lassen, Hartvig",Fortællinger af Skilling-Magazinet,1884,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010062406136
2008040204074,"Schøyen, W.M.",Om myrerne og deres samfundsliv,1890,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008040204074
2008010210005,"Garborg, Hulda","""Rationelt fjøsstell""",1896,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008010210005
